title,type,release_year,genres,imdb_score,tmdb_score
Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,8.179
Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,7.3
Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,7.811
The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,7.6
Life of Brian,MOVIE,1979,['comedy'],8.0,7.8
Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,7.5
Bonnie and Clyde,MOVIE,1967,"['crime', 'drama', 'action']",7.7,7.5
The Blue Lagoon,MOVIE,1980,"['romance', 'action', 'drama']",5.8,6.156
The Guns of Navarone,MOVIE,1961,"['action', 'drama', 'war']",7.5,7.3
The Professionals,MOVIE,1966,"['western', 'action', 'european']",7.3,7.1
Richard Pryor: Live in Concert,MOVIE,1979,"['comedy', 'documentation']",8.1,7.5
White Christmas,MOVIE,1954,"['romance', 'comedy']",7.5,7.2
Cairo Station,MOVIE,1958,"['drama', 'crime', 'comedy']",7.5,7.3
Hitler: A Career,MOVIE,1977,"['history', 'documentation', 'european']",7.5,7.3
FTA,MOVIE,1972,"['war', 'documentation', 'music', 'comedy']",6.2,6.1
Alexandria… Why?,MOVIE,1979,['drama'],7.2,6.0
The Land,MOVIE,1969,['drama'],8.1,8.5
Dostana,MOVIE,1980,"['drama', 'comedy', 'crime', 'romance', 'action']",2.1,4.9
Saladin the Victorious,MOVIE,1963,"['action', 'drama', 'war', 'history', 'romance']",7.6,7.1
Alibaba Aur 40 Chor,MOVIE,1979,"['drama', 'romance', 'action', 'fantasy', 'family']",6.2,6.8
The Blazing Sun,MOVIE,1954,"['crime', 'romance', 'drama']",7.4,7.0
Dark Waters,MOVIE,1956,"['action', 'drama', 'romance', 'thriller']",6.7,5.9
We Are All for the Fatherland,MOVIE,1979,['documentation'],6.1,5.2
Singapore,MOVIE,1960,"['drama', 'thriller', 'crime']",6.4,6.3
"Beirut, Oh Beirut",MOVIE,1975,['drama'],6.4,7.2
The Return of the Prodigal Son,MOVIE,1976,"['music', 'drama', 'crime']",7.2,5.3
Khoon Khoon,MOVIE,1973,"['crime', 'thriller']",5.1,3.8
Manoranjan,MOVIE,1974,"['romance', 'drama', 'comedy']",6.5,5.3
Ujala,MOVIE,1959,"['romance', 'crime', 'drama']",6.6,6.0
Whispers,MOVIE,1980,['documentation'],7.8,5.0
Chadi Jawani Budhe Nu,MOVIE,1976,['romance'],4.6,6.0
Bandie,MOVIE,1978,"['drama', 'action', 'romance']",4.4,6.0
GoodFellas,MOVIE,1990,"['drama', 'crime']",8.7,8.463
Full Metal Jacket,MOVIE,1987,"['war', 'drama']",8.3,8.1
Once Upon a Time in America,MOVIE,1984,"['crime', 'drama', 'european']",8.3,8.453
When Harry Met Sally...,MOVIE,1989,"['comedy', 'romance', 'drama']",7.7,7.4
A Nightmare on Elm Street,MOVIE,1984,['horror'],7.4,7.3
Steel Magnolias,MOVIE,1989,"['comedy', 'drama', 'romance']",7.3,7.2
Police Academy,MOVIE,1984,"['crime', 'comedy']",6.7,6.6
Christine,MOVIE,1983,"['horror', 'thriller', 'european']",6.7,6.8
Awakenings,MOVIE,1990,"['drama', 'european']",7.8,7.8
National Lampoon's Christmas Vacation,MOVIE,1989,"['comedy', 'european']",7.5,7.2
Lean On Me,MOVIE,1989,['drama'],7.4,7.3
Eddie Murphy Raw,MOVIE,1987,"['comedy', 'documentation']",7.6,7.3
She's Gotta Have It,MOVIE,1986,"['romance', 'comedy']",6.7,6.707
Endless Love,MOVIE,1981,"['romance', 'drama']",4.9,5.7
Vaashi,MOVIE,1983,"['drama', 'thriller']",6.7,
